Page,Edits,Editors,Views,Mobile %
"Estátua da Liberdade",?,?,23341,NaN
"Ronaldinho",?,?,23335,NaN
"Zé Roberto (futebolista)",?,?,23327,NaN
"Estatura",?,?,23297,NaN
"The Vampire Diaries (série de televisão)",?,?,23284,NaN
"Bahia",?,?,23265,NaN
"Dragon Ball (série)",?,?,23254,NaN
"Thiago Lacerda",?,?,23253,NaN
"AstraZeneca",?,?,23252,NaN
"Nubank",?,?,23186,NaN
"Paul Pogba",?,?,23183,NaN
"Azitromicina",?,?,23182,NaN
"The Bold Type",?,?,23109,NaN
"Seleção Neerlandesa de Futebol",?,?,23061,NaN
"Presidente do Brasil",?,?,23059,NaN
"Idade Média",?,?,23059,NaN
"Ragnarök",?,?,23056,NaN
"Pardos",?,?,23050,NaN
"Dua Lipa",?,?,23047,NaN
"Vanessa Lóes",?,?,23022,NaN
"Fernandinho Beira-Mar",?,?,23004,NaN
"Lázaro",?,?,22982,NaN
"Hernán Crespo",?,?,22948,NaN
"Islão",?,?,22947,NaN
"Winston Churchill",?,?,22923,NaN
"Lista de episódios de Naruto",?,?,22869,NaN
"Campeonato Europeu de Futebol de 2008",?,?,22857,NaN
"Curitiba",?,?,22834,NaN
"Gustavo Kuerten",?,?,22817,NaN
"Xuxa",?,?,22813,NaN
"Dia dos Pais",?,?,22810,NaN
"Platão",?,?,22798,NaN
"Aristóteles",?,?,22787,NaN
"Peru",?,?,22763,NaN
"Confederação Brasileira de Futebol",?,?,22740,NaN
"Terra",?,?,22722,NaN
"Âmbar cinza",?,?,22708,NaN
"Índice de Desenvolvimento Humano",?,?,22707,NaN
"Celso Pinheiro Pimenta",?,?,22645,NaN
"Tiago Leifert",?,?,22641,NaN
"American Horror Story",?,?,22636,NaN
"Roque Santeiro",?,?,22571,NaN
"Singapura",?,?,22536,NaN
"Sigmund Freud",?,?,22500,NaN
"Game of Thrones",?,?,22479,NaN
"Ricardo de Aquino Salles",?,?,22465,NaN
"Tim Maia",?,?,22454,NaN
"Nanda Costa",?,?,22414,NaN
"Chico Buarque",?,?,22413,NaN
"Antigo Egito",?,?,22412,NaN
"África",?,?,22398,NaN
"Judaísmo",?,?,22389,NaN
"Juliette Freire",?,?,22348,NaN
"Luís XIV de França",?,?,22340,NaN
"William Shakespeare",?,?,22270,NaN
"Damas",?,?,22256,NaN
"Samba",?,?,22245,NaN
"Grande Depressão",?,?,22240,NaN
"Charlie Chaplin",?,?,22181,NaN
"Sociedade Desportiva Juazeirense",?,?,22171,NaN
"O. J. Simpson",?,?,22145,NaN
"Nicolau Copérnico",?,?,22119,NaN
"Galileu Galilei",?,?,22091,NaN
"Hierarquia de necessidades de Maslow",?,?,22091,NaN
"Boerboel",?,?,22074,NaN
"Rafael Cardoso",?,?,22073,NaN
"Rosário (catolicismo)",?,?,22061,NaN
"Lista de países e territórios por área",?,?,22018,NaN
"Solstício de inverno",?,?,22010,NaN
"Friedrich Nietzsche",?,?,22004,NaN
"Leão",?,?,21993,NaN
"Brasil na Copa do Mundo FIFA de 2002",?,?,21989,NaN
"Lista de países por PIB nominal",?,?,21982,NaN
"Jô Soares",?,?,21973,NaN
"Marcos Rogério",?,?,21958,NaN
"Lista de artilheiros da Copa do Mundo FIFA",?,?,21950,NaN
"Salmo 23",?,?,21942,NaN
"Esporte Clube Juventude",?,?,21932,NaN
"Suécia",?,?,21915,NaN
"Santos Dumont",?,?,21908,NaN
"Marcola",?,?,21882,NaN
"The Big Bang Theory",?,?,21842,NaN
"Coronavírus",?,?,21842,NaN
"Paraíso Tropical",?,?,21841,NaN
"Sylvester Stallone",?,?,21818,NaN
"Fernando Collor",?,?,21800,NaN
"Robert Lewandowski",?,?,21776,NaN
"Moisés",?,?,21770,NaN
"Lista dos recordes mundiais de futebol",?,?,21749,NaN
"Keiko Fujimori",?,?,21737,NaN
"Lista de finais masculinas em simples do Torneio de Roland Garros",?,?,21736,NaN
